Sat Mar 25 03:00:47 2023    ./matching/matching.prof

         82278 function calls in 9.543 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1205    9.488    0.008    9.488    0.008 {method 'put_disk' of 'strategy.minmaxcalc.MinmaxC' objects}
    38080    0.010    0.000    0.010    0.000 {built-in method builtins.pow}
     1844    0.009    0.000    9.522    0.005 {method 'process_game' of 'bitboard.bitothello.OthelloGameC' objects}
      595    0.009    0.000    0.020    0.000 random.py:11(put_disk)
       54    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1800    0.002    0.000    9.511    0.005 strategy.py:43(selecter)
       30    0.002    0.000    9.524    0.317 matching_ts.py:33(set_match)
     1844    0.001    0.000    0.002    0.000 __init__.py:1424(debug)
     1874    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
     1020    0.001    0.000    0.001    0.000 mathematics.py:64(__truediv__)
      595    0.001    0.000    0.001    0.000 random.py:237(_randbelow_with_getrandbits)
      595    0.001    0.000    0.002    0.000 random.py:343(choice)
       30    0.001    0.000    0.010    0.000 __init__.py:433(rate)
      360    0.001    0.000    0.002    0.000 factorgraph.py:47(update_message)
      240    0.001    0.000    0.002    0.000 factorgraph.py:160(update)
     3712    0.001    0.000    0.001    0.000 utils.py:330(<genexpr>)
     4903    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2670    0.000    0.000    0.000    0.000 mathematics.py:39(__init__)
      480    0.000    0.000    0.001    0.000 factorgraph.py:41(delta)
      240    0.000    0.000    0.001    0.000 factorgraph.py:72(__init__)
       30    0.000    0.000    0.008    0.000 __init__.py:379(run_schedule)
      480    0.000    0.000    0.000    0.000 mathematics.py:60(__mul__)
       11    0.000    0.000    0.001    0.000 std.py:355(format_meter)
      120    0.000    0.000    0.001    0.000 factorgraph.py:52(update_value)
      123    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      120    0.000    0.000    0.001    0.000 factorgraph.py:144(up)
       60    0.000    0.000    0.001    0.000 factorgraph.py:101(down)
     3679    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
       60    0.000    0.000    0.001    0.000 factorgraph.py:189(up)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      210    0.000    0.000    0.000    0.000 factorgraph.py:32(__init__)
      120    0.000    0.000    0.000    0.000 strategy.py:27(set_strategy)
      480    0.000    0.000    0.001    0.000 factorgraph.py:36(set)
       30    0.000    0.000    0.001    0.000 __init__.py:306(factor_graph_builders)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1423    0.000    0.000    0.000    0.000 {built-in method builtins.len}
