Tue Mar 28 01:14:23 2023    ./matching/matching.prof

         475422889 function calls (475422840 primitive calls) in 309.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
104031441   32.601    0.000   32.601    0.000 {method 'get' of 'dict' objects}        2   23.299   11.649   23.299   11.649 {built-in method _pickle.dump}  
       20   18.288    0.914   18.288    0.914 {built-in method numpy.array}   
       20   16.171    0.809   16.171    0.809 QL_training.py:133(<listcomp>)  
  5996386   15.435    0.000  124.028    0.000 qlearning.py:149(put_disk)      
  5397021   15.353    0.000   31.210    0.000 qlearning.py:140(<dictcomp>)    
  5996386   13.242    0.000   59.227    0.000 qlearning.py:121(select_action) 
 12281363   12.253    0.000  157.258    0.000 {method 'process_game' of 'bitboard.bitothello.OthelloGameC' objects}
  5996386   11.725    0.000   41.915    0.000 qlearning.py:89(update_q_value) 
 17800000   10.634    0.000   10.634    0.000 mathematics.py:39(__init__)     
  5962750    9.823    0.000   25.818    0.000 qlearning.py:113(<listcomp>)    
        2    8.970    4.485    8.970    4.485 {built-in method _pickle.load}  
  6800000    7.156    0.000   13.855    0.000 mathematics.py:64(__truediv__)  
  1600000    6.565    0.000    9.505    0.000 factorgraph.py:72(__init__)     
 17989008    6.320    0.000    6.320    0.000 {method 'reversible_area_list' of 'bitboard.bitothello.OthelloGameC' objects}
 11992630    5.472    0.000    7.693    0.000 random.py:237(_randbelow_with_getrandbits)
 11992622    4.528    0.000  140.376    0.000 strategy.py:74(selecter)        
 11992630    4.482    0.000   13.012    0.000 random.py:343(choice)
  2400000    3.863    0.000   11.490    0.000 factorgraph.py:47(update_message)
        1    3.793    3.793  309.432  309.432 QL_training.py:94(runby1)       
  1600000    3.537    0.000   22.357    0.000 factorgraph.py:160(update)      
 14955622    3.448    0.000    3.448    0.000 {built-in method builtins.max}  
  5996236    3.173    0.000   11.820    0.000 random.py:32(put_disk)
   200000    3.073    0.000  162.843    0.001 QL_training.py:16(set_match)    
  5388676    2.888    0.000    2.888    0.000 qlearning.py:147(<listcomp>)    
 12281363    2.764    0.000    4.628    0.000 __init__.py:1424(debug)
   200000    2.604    0.000   73.652    0.000 __init__.py:433(rate)
  3200000    2.397    0.000    3.748    0.000 factorgraph.py:41(delta)        
   200000    2.258    0.000   64.286    0.000 __init__.py:379(run_schedule)   
 12481363    1.943    0.000    1.943    0.000 __init__.py:1689(isEnabledFor)  
 11992772    1.803    0.000    1.803    0.000 {method 'reversible_area' of 'bitboard.bitothello.OthelloGameC' objects}
  5996386    1.778    0.000    1.778    0.000 {method 'simulate_play' of 'bitboard.bitothello.OthelloGameC' objects}
  3200000    1.746    0.000    2.208    0.000 mathematics.py:60(__mul__)      
   800000    1.684    0.000    4.579    0.000 factorgraph.py:52(update_value) 
   600000    1.511    0.000    6.291    0.000 factorgraph.py:133(__init__)    
   800000    1.491    0.000    9.017    0.000 factorgraph.py:144(up)
 11455620    1.276    0.000    1.276    0.000 qlearning.py:143(<genexpr>)     
 18615357    1.216    0.000    1.216    0.000 {method 'getrandbits' of '_random.Random' objects}
   400000    1.195    0.000    4.669    0.000 __init__.py:357(build_trunc_layer)
  3200000    1.186    0.000    4.934    0.000 factorgraph.py:36(set)
 16999097    1.185    0.000    1.185    0.000 {built-in method builtins.len}  
   600000    1.161    0.000    2.051    0.000 __init__.py:337(build_rating_layer)
  5597021    1.124    0.000    1.836    0.000 {built-in method builtins.all}  
   400000    1.063    0.000    7.297    0.000 factorgraph.py:189(up)
  1267472    1.048    0.000    1.305    0.000 backends.py:56(erfc)
  5996386    1.028    0.000    1.028    0.000 {method 'count_disks' of 'bitboard.bitothello.OthelloGameC' objects}
 11992630    1.006    0.000    1.006    0.000 {method 'bit_length' of 'int' objects}
   400000    0.949    0.000    4.114    0.000 factorgraph.py:101(down)        
  1400000    0.921    0.000    1.145    0.000 factorgraph.py:32(__init__)     
   867472    0.896    0.000    1.183    0.000 backends.py:75(pdf)
  6000000    0.887    0.000    0.887    0.000 factorgraph.py:61(__setitem__)  
  7134946    0.885    0.000    0.885    0.000 {built-in method math.sqrt}     
   400000    0.880    0.000   18.661    0.000 __init__.py:389(<listcomp>)     
   200000    0.851    0.000    3.515    0.000 __init__.py:306(factor_graph_builders)
  5996386    0.823    0.000    0.823    0.000 {method 'return_player_board' of 'bitboard.bitothello.OthelloGameC' objects}
   800000    0.793    0.000   16.656    0.000 factorgraph.py:139(down)        
   200000    0.762    0.000    1.663    0.000 factorgraph.py:183(__init__)    
  6800000    0.737    0.000    0.737    0.000 factorgraph.py:58(__getitem__)  
  9455114    0.656    0.000    0.656    0.000 {built-in method builtins.abs}  
   200000    0.650    0.000    1.265    0.000 backends.py:26(erfcinv)
   200000    0.609    0.000    0.609    0.000 qlearning.py:35(__init__)       
  5388716    0.601    0.000    0.601    0.000 {method 'values' of 'dict' objects}
   200000    0.570    0.000   74.311    0.000 __init__.py:617(rate_1vs1)      
  5996386    0.562    0.000    0.562    0.000 {method 'random' of '_random.Random' objects}
  2000000    0.547    0.000    0.675    0.000 factorgraph.py:83(var)
   800000    0.540    0.000    1.208    0.000 strategy.py:48(set_strategy)    
   400000    0.536    0.000    0.721    0.000 {built-in method builtins.sorted}
   400000    0.535    0.000    3.015    0.000 factorgraph.py:118(down)        
   766264    0.512    0.000    2.848    0.000 __init__.py:205(v_win)
   400000    0.496    0.000    2.744    0.000 factorgraph.py:124(up)
  3200002    0.486    0.000    0.486    0.000 mathematics.py:50(mu)
  5388679    0.486    0.000    0.486    0.000 {method 'items' of 'dict' objects}
   400000    0.479    0.000    0.616    0.000 __init__.py:84(_team_sizes)     
   600000    0.479    0.000    4.663    0.000 __init__.py:343(build_team_perf_layer)
   867472    0.473    0.000    1.410    0.000 backends.py:70(cdf)
       20    0.462    0.023    0.462    0.023 {method 'reduce' of 'numpy.ufunc' objects}
   200000    0.459    0.000    0.605    0.000 __init__.py:242(validate_rating_groups)
   400000    0.442    0.000    1.388    0.000 {method 'change_strategy' of 'bitboard.bitothello.OthelloGameC' objects}
   600000    0.437    0.000    4.041    0.000 __init__.py:340(build_perf_layer)
   400000    0.434    0.000   19.145    0.000 __init__.py:388(build)
   606276    0.398    0.000    0.740    0.000 {built-in method builtins.sum}  
   400000    0.383    0.000    0.639    0.000 __init__.py:113(__init__)       
   800000    0.349    0.000    0.479    0.000 factorgraph.py:141(<listcomp>)  
   400000    0.337    0.000    0.889    0.000 factorgraph.py:96(__init__)     
  4100070    0.337    0.000    0.337    0.000 {method 'append' of 'list' objects}
   400000    0.334    0.000    3.605    0.000 factorgraph.py:109(__init__)    
   800000    0.332    0.000    0.455    0.000 factorgraph.py:157(<listcomp>)  
   800002    0.330    0.000    0.453    0.000 mathematics.py:55(sigma)        
   400000    0.308    0.000    0.611    0.000 strategy.py:33(__init__)        
  2534944    0.300    0.000    0.300    0.000 {built-in method math.exp}      
   200000    0.290    0.000    0.901    0.000 {method 'load_strategy' of 'bitboard.bitothello.OthelloGameC' objects}
   200000    0.284    0.000   74.595    0.000 trueskill_.py:58(update_rating) 
     2131    0.273    0.000    0.273    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   400000    0.249    0.000    2.356    0.000 __init__.py:353(build_team_diff_layer)
   383132    0.241    0.000    1.505    0.000 __init__.py:221(w_win)
   800000    0.241    0.000    0.241    0.000 factorgraph.py:115(calc_a)      
   200000    0.230    0.000    0.683    0.000 __init__.py:331(<listcomp>)     
